SimTime,TTI,ActiveAgents,WaitingReroute,CompletedTrips,DynamicReroutes,BlackZones,RedZones,YellowZones,RouterRPS,SavedDuplicates,RouterLoad,GreenZones,VisitedNodes,RouteCycles,WaitingSpawn,RouteTimeMaxUs,RouteTimeAvgUs,RouterWaitTimeUs
5,1,200000,0,0,0,0,0,0,0.0,0,0.9918,150296,0,0,200000,39979,3005.46,47478345
15,1,200000,0,0,0,0,0,0,0.0,0,0.9715,132397,21787.4,10773200.0,0,0,0,47478345
25,1,200000,0,0,0,0,0,0,0.0,0,0.952,142231,0,0,0,0,0,47478345
35,1.2084,199999,800,7,125,0,0,0,140.9,10,0.94,151051,127109,101701000.0,3,340776,31759.9,48008040
60,1.1791,199991,2357,30,423,0,0,6,179.0,336,0.9454,156490,128444,105032000.0,14,217346,29424.5,50271486
70,1.1578,199990,3165,51,543,0,0,180,170.3,762,0.9509,159864,178559,142779000.0,34,265410,35593.3,51520098
89,1.1358,199994,3918,90,727,0,2,609,189.9,1305,0.9478,161827,149401,143114000.0,68,203852,36286.8,53264882
100,1.1902,200000,4478,127,849,0,5,1311,198.0,2263,0.9519,150881,137118,112479000.0,110,276597,34536,54451538
120,1.1955,200000,5078,211,1016,0,12,2185,228.4,3355,0.9557,134243,174600,138507000.0,181,241361,34609.9,56793186
130,1.189,200000,5378,240,1106,0,23,2897,213.9,3625,0.9527,127876,158495,133189000.0,199,200058,37613.7,57572781
140,1.2017,200000,5641,294,1192,0,36,3563,215.6,4368,0.9526,124549,146101,101366000.0,243,274734,35580.5,58522057
150,1.2224,200000,5890,365,1285,0,62,4069,202.4,5117,0.9571,119002,165248,116126000.0,306,181666,33163.5,59764359
172,1.2349,199983,6289,527,1450,0,85,4454,216.9,6331,0.9555,110619,185985,137951000.0,426,328449,42555.2,61694569
185,1.2136,199960,6406,629,1541,0,109,4742,206.8,7057,0.9601,106750,160308,123139000.0,497,200197,39997.3,62953318
204,1.2614,199967,6657,770,1704,0,139,4944,228.2,8591,0.9593,101261,164948,136790000.0,588,283803,32903.1,64829434
212,1.2378,199971,6829,850,1780,0,164,5136,216.4,9557,0.9578,95757,188473,121225000.0,657,181700,35594,65691276
225,1.2496,199954,6994,953,1850,0,202,5225,199.9,10191,0.9615,92392,183162,126734000.0,719,189010,31868.1,66916281
232,1.2761,199976,7017,1014,1961,0,233,5334,206.4,11065,0.9599,88525,171859,117501000.0,764,191617,32172.1,67763290
255,1.3024,199958,7310,1204,2116,0,259,5394,215.9,12999,0.9615,85140,195480,148602000.0,894,150201,35641.1,69805221
264,1.307,199954,7363,1286,2201,0,299,5392,218.4,14113,0.9643,81605,198781,141818000.0,922,207907,39742.4,70978773
275,1.3239,200000,7530,1380,2318,0,340,5389,213.4,15513,0.9639,78429,168433,121721000.0,973,196558,32428.4,71924196
